"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 13 13:01:35 UTC 2026","Sun Sep 13 13:01:40 UTC 2026","5880","tests","test_modals","TestModals","","","test_simple_modal_closes_via_close_button",""
"passed","Sun Sep 13 12:59:50 UTC 2026","Sun Sep 13 12:59:52 UTC 2026","1654","tests","test_calendars","TestCalendars","","","test_calendar_input_clickable",""
"passed","Sun Sep 13 13:00:13 UTC 2026","Sun Sep 13 13:00:15 UTC 2026","1970","tests","test_calendars","TestCalendars","","","test_field_accepts_keystrokes",""
"passed","Sun Sep 13 13:01:13 UTC 2026","Sun Sep 13 13:01:15 UTC 2026","2716","tests","test_form","TestForm","","","test_empty_message_field",""
"passed","Sun Sep 13 13:00:01 UTC 2026","Sun Sep 13 13:00:04 UTC 2026","3597","tests","test_calendars","TestCalendars","","","test_valid_date_no_error",""
"passed","Sun Sep 13 12:59:52 UTC 2026","Sun Sep 13 12:59:54 UTC 2026","1508","tests","test_calendars","TestCalendars","","","test_format_hint_visible",""
"passed","Sun Sep 13 12:59:14 UTC 2026","Sun Sep 13 12:59:20 UTC 2026","6574","tests","test_ads","TestAds","","","test_close_ad_then_reload",""
"passed","Sun Sep 13 12:58:49 UTC 2026","Sun Sep 13 12:58:56 UTC 2026","7168","tests","test_ads","TestAds","","","test_close_ad_removes_popup",""
"passed","Sun Sep 13 12:59:38 UTC 2026","Sun Sep 13 12:59:45 UTC 2026","6782","tests","test_ads","TestAds","","","test_ad_close_button_clickable_multiple_times","Клик по крестику отрабатывает без ошибок (реклама может переоткрыться — это фича)."
"passed","Sun Sep 13 13:01:22 UTC 2026","Sun Sep 13 13:01:24 UTC 2026","2445","tests","test_modals","TestModals","","","test_simple_modal_button_visible",""
"passed","Sun Sep 13 13:01:29 UTC 2026","Sun Sep 13 13:01:32 UTC 2026","3049","tests","test_modals","TestModals","","","test_simple_modal_contains_text",""
"passed","Sun Sep 13 13:00:59 UTC 2026","Sun Sep 13 13:01:03 UTC 2026","3898","tests","test_form","TestForm","","","test_fill_full_form",""
"passed","Sun Sep 13 13:01:47 UTC 2026","Sun Sep 13 13:01:51 UTC 2026","3530","tests","test_modals","TestModals","","","test_form_modal_has_name_field",""
"passed","Sun Sep 13 12:58:42 UTC 2026","Sun Sep 13 12:58:48 UTC 2026","5839","tests","test_ads","TestAds","","","test_ad_has_close_button",""
"passed","Sun Sep 13 13:00:25 UTC 2026","Sun Sep 13 13:00:27 UTC 2026","1922","tests","test_calendars","TestCalendars","","","test_empty_input_no_crash",""
"passed","Sun Sep 13 13:01:17 UTC 2026","Sun Sep 13 13:01:20 UTC 2026","3434","tests","test_form","TestForm","","","test_invalid_email_format",""
"passed","Sun Sep 13 12:59:21 UTC 2026","Sun Sep 13 12:59:29 UTC 2026","7686","tests","test_ads","TestAds","","","test_closing_ad_twice_no_error",""
"passed","Sun Sep 13 13:00:33 UTC 2026","Sun Sep 13 13:00:34 UTC 2026","1152","tests","test_form","TestForm","","","test_password_field_visible",""
"passed","Sun Sep 13 13:00:21 UTC 2026","Sun Sep 13 13:00:23 UTC 2026","2771","tests","test_calendars","TestCalendars","","","test_invalid_date_text_no_crash",""
"passed","Sun Sep 13 13:00:10 UTC 2026","Sun Sep 13 13:00:12 UTC 2026","2141","tests","test_calendars","TestCalendars","","","test_accepts_various_dates",""
"passed","Sun Sep 13 12:59:06 UTC 2026","Sun Sep 13 12:59:09 UTC 2026","2805","tests","test_ads","TestAds","","","test_main_content_visible",""
"passed","Sun Sep 13 13:00:55 UTC 2026","Sun Sep 13 13:00:58 UTC 2026","2883","tests","test_form","TestForm","","","test_automation_tools_list_has_items",""
"passed","Sun Sep 13 13:00:36 UTC 2026","Sun Sep 13 13:00:38 UTC 2026","2356","tests","test_form","TestForm","","","test_email_field_visible",""
"passed","Sun Sep 13 13:01:08 UTC 2026","Sun Sep 13 13:01:11 UTC 2026","3150","tests","test_form","TestForm","","","test_submit_with_empty_name",""
"passed","Sun Sep 13 13:02:16 UTC 2026","Sun Sep 13 13:02:21 UTC 2026","4911","tests","test_modals","TestModals","","","test_invalid_email_does_not_submit",""
"passed","Sun Sep 13 12:59:55 UTC 2026","Sun Sep 13 12:59:56 UTC 2026","1509","tests","test_calendars","TestCalendars","","","test_format_hint_is_yyyy_mm_dd",""
"passed","Sun Sep 13 13:01:43 UTC 2026","Sun Sep 13 13:01:47 UTC 2026","3074","tests","test_modals","TestModals","","","test_form_modal_opens",""
"passed","Sun Sep 13 12:58:27 UTC 2026","Sun Sep 13 12:58:32 UTC 2026","4462","tests","test_ads","TestAds","","","test_page_opens",""
"passed","Sun Sep 13 13:00:47 UTC 2026","Sun Sep 13 13:00:48 UTC 2026","1535","tests","test_form","TestForm","","","test_fill_name",""
